title_corrected,title,link,citation,
,A Biophysical Image Compositing Technique for the Global-Scale Extraction and Mapping of Barren Lands.,https://www.mdpi.com/2220-9964/5/12/225,"Sharma, Ram C., Ryutaro Tateishi, and Keitarou Hara. 2016. “A Biophysical Image Compositing Technique for the Global-Scale Extraction and Mapping of Barren Lands.” ISPRS International Journal of Geo-Information 5 (12): 225. https://doi.org/10.3390/ijgi5120225.
",
,A Foresight Scenario Method for Thinking About Complex Sustainable Development Interactions,https://bulletin.ids.ac.uk/idsbo/article/view/2780,"Glover, Dominic, Kevin Hernandez, and Alun Rhydderch. 2016. “A Foresight Scenario Method for Thinking About Complex Sustainable Development Interactions.” Ids Bulletin-Institute of Development Studies 47 (4): 55–70. https://doi.org/10.19088/1968-2016.155.
",
,A Guide to SDG Interactions: From Science to Implementation,https://council.science/publications/a-guide-to-sdg-interactions-from-science-to-implementation,"Nilsson, M., D. Griggs, D. McCollum, and A. Stevance. 2017. “A Guide to SDG Interactions: From Science to Implementation.” Report. International Council for Science (ICSU).
",
,A Multi-Agent Model for Urban Water-Energy-Food Sustainable Development Simulation,https://dl.acm.org/citation.cfm?id=3126991,"Guijun, L., W. Yongsheng, H. Daohan, and Y. Hongtao. 2017. “A Multi-Agent Model for Urban Water-Energy-Food Sustainable Development Simulation.” In ACM International Conference Proceeding Series, Part F130655:105–10. https://doi.org/10.1145/3126973.3126991.
",
A New Dryland Development Paradigm Grounded in Empirical Analysis of Dryland Systems Science,A NEW DRYLAND DEVELOPMENT PARADIGM GROUNDED IN EMPIRICAL ANALYSIS OF DRYLAND SYSTEMS SCIENCE,https://onlinelibrary.wiley.com/doi/full/10.1002/ldr.2716,"Stringer, Lindsay C., Mark S. Reed, Luuk Fleskens, Richard J. Thomas, Quang Bao Le, and Tana Lala?Pritchard. 2017. “A New Dryland Development Paradigm Grounded in Empirical Analysis of Dryland Systems Science.” Land Degradation & Development 28 (7): 1952–61. https://doi.org/10.1002/ldr.2716.
",
,A physically-based model of long-term food demand,https://www.sciencedirect.com/science/article/pii/S0959378016302473,"Bijl, David L., Patrick W. Bogaart, Stefan C. Dekker, Elke Stehfest, Bert J. M. de Vries, and Detlef P. van Vuuren. 2017. “A Physically-Based Model of Long-Term Food Demand.” Global Environmental Change 45 (July): 47–62. https://doi.org/10.1016/j.gloenvcha.2017.04.003.
",
A rapid assessment of co-benefits and trade-offs among Sustainable Development Goals,A rapid assessment of co-benefits and tradeoffs among Sustainable Development Goals,https://www.sciencedirect.com/science/article/pii/S0308597X17302026,"Singh, Gerald G., Andrés M. Cisneros-Montemayor, Wilf Swartz, William Cheung, J. Adam Guy, Tiff-Annie Kenny, Chris J. McOwen, et al. 2018. “A Rapid Assessment of Co-Benefits and Trade-Offs among Sustainable Development Goals.” Marine Policy 93 (July): 223–31. https://doi.org/10.1016/j.marpol.2017.05.030.
",
,A rapid assessment of co-benefits and trade-offs among Sustainable Development Goals,https://www.sciencedirect.com/science/article/pii/S0308597X17302026,"Singh, Gerald G., Andrés M. Cisneros-Montemayor, Wilf Swartz, William Cheung, J. Adam Guy, Tiff-Annie Kenny, Chris J. McOwen, et al. 2018. “A Rapid Assessment of Co-Benefits and Trade-Offs among Sustainable Development Goals.” Marine Policy 93 (July): 223–31. https://doi.org/10.1016/j.marpol.2017.05.030.
",
,A Revision of What Life Cycle Sustainability Assessment Should Entail: Towards Modeling the Net Impact on Human Well-Being,https://onlinelibrary.wiley.com/doi/full/10.1111/jiec.12653,"Schaubroeck, Thomas, and Benedetto Rugani. 2017. “A Revision of What Life Cycle Sustainability Assessment Should Entail: Towards Modeling the Net Impact on Human Well-Being.” Journal of Industrial Ecology 21 (6): 1464–77. https://doi.org/10.1111/jiec.12653.
",
,A Systematic Study of Sustainable Development Goal (SDG) Interactions,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017EF000632,"Pradhan, Prajal, Luís Costa, Diego Rybski, Wolfgang Lucht, and Jürgen P. Kropp. 2017. “A Systematic Study of Sustainable Development Goal (SDG) Interactions.” Earth’s Future 5 (11): 1169–79. https://doi.org/10.1002/2017EF000632.
",
,A vision for the future of pastoralism,https://www.ncbi.nlm.nih.gov/pubmed/27917960,"Zinsstag, J., B. Bonfoh, G. Zinsstag, L. Crump, I. O. Alfaroukh, M. F. Abakar, J. Kasymbekov, et al. 2016. “A Vision for the Future of Pastoralism.” Revue Scientifique Et Technique (International Office of Epizootics) 35 (2): 693–99. https://doi.org/10.20506/rst.35.2.2550.
",
,Accountability in education: Meeting our commitments,https://en.unesco.org/gem-report/report/2017/accountability-education,"UNESCO. 2017. “Accountability in Education: Meeting Our Commitments.” Global Education Monitoring Report. Paris, France: United Nations Educational, Scientific and Cultural Organization.
",
,Achieving the sustainable development agenda: The governance - conflict nexus.,https://journals.sagepub.com/doi/abs/10.1177/2233865916683609,"Nygård, Håvard Mokleiv. 2017. “Achieving the Sustainable Development Agenda: The Governance – Conflict Nexus.” International Area Studies Review 20 (1): 3–18. https://doi.org/10.1177/2233865916683609.
",
,"Adolescent Fertility and Child Health: The Interaction of Maternal Age, Parity and Birth Intervals in Determining Child Health Outcomes",https://www.lifescienceglobal.com/pms/index.php/ijchn/article/view/4472,"Finlay, Jocelyn E., Melanie K. Norton, and Iván Mejía Guevara. 2017. “Adolescent Fertility and Child Health: The Interaction of Maternal Age, Parity and Birth Intervals in Determining Child Health Outcomes.” International Journal of Child Health and Nutrition 6 (1): 16-33–33.
",
,Africa 2030: How Africa can achieve the sustainable development goals,https://sdgcafrica.org/reports/#,"Henao, Lina, Liz Moyer, and Patricia Namakula. 2017. “Africa 2030: How Africa Can Achieve the Sustainable Development Goals.” ISSN 2077-5091 1. Kigali, Rwanda: Sustainable Development Goals Center for Africa.
",
,Africa report on the Sustainable Development Goals and Agenda 2063,https://www.uneca.org/arfsd2017/pages/forum-documents,"ECA. 2017. “Africa Report on the Sustainable Development Goals and Agenda 2063.” United Nations Economic Commission for Africa.
",
2017 Africa Sustainable Development Report: Tracking Progress on Agenda 2063 and the Sustainable Development Goals,Africa Sustainable Development Report - Tracking Progress on Agenda 2063 and the SDGs,https://www.uneca.org/publications/2017-africa-sustainable-development-report,"African Union, Economic Commission for Africa, African Development Bank, and United Nations Development Programme. 2017. 2017 Africa Sustainable Development Report: Tracking Progress on Agenda 2063 and the Sustainable Development Goals. Addis Abeba.
",
,An Innovative Model for Engagement of Rural Citizens/Community of Bangladesh with Climate Change,https://content.iospress.com/articles/journal-of-climate-change/jcc170015,"Kibria, Golam, A. K. Yousuf Haroon, and Dayanthi Nugegoda. 2017. “An Innovative Model for Engagement of Rural Citizens/Community of Bangladesh with Climate Change.” Journal of Climate Change 3 (2): 73–80. https://doi.org/10.3233/JCC-170015.
",
,An Optimistic Analysis of the Means of Implementation for Sustainable Development Goals: Thinking about Goals as Means,https://www.mdpi.com/2071-1050/8/9/962,"Elder, Mark, Magnus Bengtsson, and Lewis Akenji. 2016. “An Optimistic Analysis of the Means of Implementation for Sustainable Development Goals: Thinking about Goals as Means.” Sustainability 8 (9): 962. https://doi.org/10.3390/su8090962.
",
,Analytical Framework for Integration of Water and Sanitation SDGs and Targets using Systems Thinking Approach,http://sdghelpdesk.unescap.org/e-library/analytical-framework-integration-water-and-sanitation-sdgs-and-targets-using-systems,"ESCAP. 2016. “Analytical Framework for Integration of Water and Sanitation SDGs and Targets Using Systems Thinking Approach | SDG Help Desk.” Bangkok, Thailand: United Nations Economic and Social Commission for Asia and the Pacific.
",
